id,source_type,scheme_or_topic,url,used_for,last_checked
1,AMC Scheme Page,HDFC Large Cap Fund / formerly HDFC Top 100 Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-cap-fund/regular,expense ratio/exit load/minimum SIP/benchmark/riskometer,2026-06-02
2,KIM,HDFC Large Cap Fund,https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20Large%20Cap%20Fund%20dated%20November%2021%2C%202025_0.pdf,minimum application/exit load/scheme details,2026-06-02
3,SID,HDFC Large Cap Fund,https://www.hdfcfund.com/mutual-funds/fund-documents/sid,official SID document index,2026-06-02
4,AMC Scheme Page,HDFC Flexi Cap Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/regular,exit load/minimum SIP/benchmark/riskometer/downloads,2026-06-02
5,KIM,HDFC Flexi Cap Fund,https://www.hdfcfund.com/mutual-funds/fund-documents/kim,official KIM document index,2026-06-02
6,SID,HDFC Flexi Cap Fund,https://www.hdfcfund.com/mutual-funds/fund-documents/sid,official SID document index,2026-06-02
7,Factsheet,HDFC Flexi Cap Fund,https://www.hdfcfund.com/digitalfactsheets/2024-april/innerpages/Flexi%20Cap.html,factsheet location/performance disclosure reference,2026-06-02
8,AMC Category Page,HDFC ELSS Tax Saver,https://www.hdfcfund.com/explore/mutual-funds/tax-saver,riskometer/AUM/category,2026-06-02
9,AMC Scheme Page,HDFC ELSS Tax Saver,https://www.hdfcfund.com/product-solutions/overview/hdfc-elss-tax-saver/regular,expense ratio/lock-in/minimum application/transaction instructions,2026-06-02
10,KIM,HDFC ELSS Tax Saver,https://www.hdfcfund.com/mutual-funds/fund-documents/kim,official KIM document index,2026-06-02
11,SID,HDFC ELSS Tax Saver,https://www.hdfcfund.com/mutual-funds/fund-documents/sid,official SID document index,2026-06-02
12,AMC Scheme Page,HDFC Balanced Advantage Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-balanced-advantage-fund/direct,scheme facts/downloads,2026-06-02
13,AMC Scheme Page,HDFC Balanced Advantage Fund,https://www.hdfcfund.com/product-solutions/overview/hdfc-balanced-advantage-fund/direct,exit load/minimum application/riskometer/downloads,2026-06-02
14,Factsheet,HDFC Balanced Advantage Fund,https://www.hdfcfund.com/digitalfactsheets/2020-april/innerpages/Balanced-Advantage-Fund.html,factsheet location,2026-06-02
15,AMC Service Page,Account Statement,https://www.hdfcfund.com/services/consolidated-account-statement,statement download instructions/account statement facts,2026-06-02
16,AMC Education Page,Capital Gain Statement,https://www.hdfcfund.com/learn/blog/how-get-capital-gain-statement-mutual-fund-schemes-india,capital gains statement guidance,2026-06-02
17,AMC Document Page,SID Index,https://www.hdfcfund.com/mutual-funds/fund-documents/sid,SID download location,2026-06-02
18,AMC Document Page,KIM Index,https://www.hdfcfund.com/mutual-funds/fund-documents/kim,KIM download location,2026-06-02
19,AMC Document Page,Factsheet Index,https://www.hdfcfund.com/digitalfactsheets/2024-april/innerpages/Flexi%20Cap.html,factsheet download location,2026-06-02
20,SEBI Investor Education,Understanding Mutual Funds,https://investor.sebi.gov.in/understanding_mf.html,mutual fund basics/regulatory context,2026-06-02
21,AMFI Investor Education,Mutual Fund Information,https://www.amfiindia.com/investor-corner/knowledge-center/mutual-funds.html,investor education/refusal redirect,2026-06-02
